instruction,input,output,id,generated_text,model_response
"दिइएको क्यारेक्टर, सेटिङ र विषयवस्तु प्रयोग गरेर कथा उत्पन्न गर्नुहोस्।","पात्रहरू: जासूस, वैज्ञानिक
सेटिङ: परित्याग गरिएको कारखाना
विषय: रहस्य","जासूस र वैज्ञानिकलाई एक रहस्यमय बेपत्ताको अनुसन्धान गर्न परित्याग गरिएको कारखानामा पठाइएको थियो। उनीहरूलाई भनिएको थियो कि कोही भित्र गएको थियो तर कहिल्यै बाहिर निस्किएको देखिएन। तिनीहरूले कारखानाको अन्वेषण गर्दा, तिनीहरूले अनौठो सुरागहरू पत्ता लगाउन थाले जसले सुझाव दिन्छ कि केहि अनौठो भइरहेको छ। तिनीहरूले चाँडै कारखानाको गहिराइमा एउटा गोप्य प्रयोगशाला पत्ता लगाए, अनौठो र विदेशी मेसिनहरूले भरिएको। यो स्पष्ट भयो कि केहि भयावह भइरहेको थियो र जासूस र वैज्ञानिकले रहस्यमय बेपत्ताको पछाडिको सत्यता उजागर गर्न सुरागहरू सँगै जोड्न थाले।",6916,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
दिइएको क्यारेक्टर, सेटिङ र विषयवस्तु प्रयोग गरेर कथा उत्पन्न गर्नुहोस्।

### Input:
पात्रहरू: जासूस, वैज्ञानिक
सेटिङ: परित्याग गरिएको कारखाना
विषय: रहस्य

### Response:
जासूसको नाम जेनेट हो । तिनी र वैज्ञानिकको नाम सारा हो । तिनीहरू पुरानो कारखानामा रहस्य पाएका छन् ।<|end_of_text|>",जासूसको नाम जेनेट हो । तिनी र वैज्ञानिकको नाम सारा हो । तिनीहरू पुरानो कारखानामा रहस्य पाएका छन् ।
जलवायु परिवर्तनले मानिस र वातावरणमा पार्ने ५ प्रभावहरूको सूची बनाउनुहोस्।,,"1. आकस्मिक मृत्यु: गर्मी छाल, बाढी र अन्य जलवायु सम्बन्धी प्रकोपहरूले आकस्मिक मृत्यु निम्त्याउन सक्छ।
2. रोगको फैलावट: उच्च तापक्रम र आर्द्रता संग भेक्टर-जनित रोगहरूको फैलावट बढ्ने अपेक्षा गरिन्छ।
3. खाद्य असुरक्षा: जलवायु परिवर्तनले कृषि उत्पादनमा बाधा पुर्‍याउन सक्छ र खाद्य असुरक्षा निम्त्याउन सक्छ।
4. पानीको तनाव: वर्षाको ढाँचामा परिवर्तन, हिउँ र ग्लेशियरहरू पग्लिँदा पानीको तनाव हुन सक्छ।
5. चरम मौसम घटनाहरू: जलवायु परिवर्तनले भारी वर्षा, खडेरी र गर्मीको लहरहरू सहित चरम मौसमी घटनाहरूको तीव्रता र आवृत्ति बढाउन सक्छ।",36299,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
जलवायु परिवर्तनले मानिस र वातावरणमा पार्ने ५ प्रभावहरूको सूची बनाउनुहोस्।

### Input:


### Response:
जलवायु परिवर्तनको प्रभावहरू: 
1. जलवायु परिवर्तनको प्रभावहरू: 
2. जलवायु परिवर्तनको प्रभावहरू: 
3. जलवायु परिवर्तनको प्रभावहरू: 
4. जलवायु परिवर्तनको प्रभावहरू: 
5. जलवायु परिवर्तनको प्रभावहरू: 
<|end_of_text|>","जलवायु परिवर्तनको प्रभावहरू: 
1. जलवायु परिवर्तनको प्रभावहरू: 
2. जलवायु परिवर्तनको प्रभावहरू: 
3. जलवायु परिवर्तनको प्रभावहरू: 
4. जलवायु परिवर्तनको प्रभावहरू: 
5. जलवायु परिवर्तनको प्रभावहरू:"
उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्,,प्रदर्शनको पावरहाउस।,18066,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

### Input:


### Response:
उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक","उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक्यांश प्रदान गर्नुहोस्

उच्च प्रदर्शन इन्जिनलाई सही रूपमा वर्णन गर्ने वाक"
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो ?,,"जलवायु परिवर्तनको प्रमुख कारण जीवाश्म इन्धन जलाउनु र हरितगृह ग्यासहरू उत्पादन गर्ने अन्य मानव गतिविधिहरू जस्तै वन विनाश र कृषि अभ्यासहरू हुन्। यी गतिविधिहरूले कार्बन डाइअक्साइड र अन्य ग्याँसहरूको उत्सर्जनमा परिणाम दिन्छ जसले वायुमण्डलमा तातो जालमा पार्छ र हरितगृह प्रभाव निम्त्याउँछ, परिणामस्वरूप पृथ्वीको तापक्रम बढ्छ।",3011,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?

### Input:


### Response:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Answer:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Explanation:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Instruction:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Input:


### Response:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Answer:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Explanation:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Instruction:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Input:


### Response:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Answer:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Explanation:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Instruction:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Input:


### Response:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Answer:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Explanation:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Instruction:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Input:


### Response:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Answer:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Explanation:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Instruction:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Input:


### Response:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


","तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?


### Answer:
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?
तपाईको विचारमा जलवायु परिवर्तनको प्रमुख कारण के हो?"
गणितका ५ वटा शाखाको नाम दिनुहोस्।,,"- बीजगणित
- ज्यामिति
- क्याल्कुलस
- संख्या सिद्धान्त
- अलग गणित",1520,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
गणितका ५ वटा शाखाको नाम दिनुहोस्।

### Input:


### Response:
गणितका ५ वटा शाखा हुन्: सामान्य गणित, व्याख्यात्मक गणित, वास्तविक गणित, सांख्यिक गणित, व्याकल्पात्मक गणित, सांख्यिक व्याख्यात्मक गणित।<|end_of_text|>","गणितका ५ वटा शाखा हुन्: सामान्य गणित, व्याख्यात्मक गणित, वास्तविक गणित, सांख्यिक गणित, व्याकल्पात्मक गणित, सांख्यिक व्याख्यात्मक गणित।"
एउटै लेख पढ्ने दुई फरक व्यक्तिको प्रतिक्रिया तुलना गर्नुहोस्।,"अक्टोबर १०, २०१९ मा प्रकाशित एउटा लेख ""महिलाहरू कर्पोरेट बोर्डहरूमा बहुमतको नजिक जान्छ"" शीर्षकमा","व्यक्ति A कर्पोरेट बोर्डहरूमा थप महिलाहरू नियुक्त भइरहेका देख्दा खुसी छन्, किनकि यसले लैङ्गिक असमानता कम गर्न र निगमहरूको सफलतामा योगदान गर्ने महिलाहरूको क्षमतालाई पहिचान गर्न मद्दत गर्नेछ। व्यक्ति बी चिन्तित छ कि कर्पोरेट बोर्डहरूमा महिलाहरूको बढ्दो उपस्थितिले पुरुषहरूलाई नियुक्ति पाउन गाह्रो बनाउनेछ र यसरी उल्टो दिशामा लैङ्गिक असमानता बढ्नेछ। व्यक्ति A र B दुबै सहमत छन्, तथापि, कर्पोरेट बोर्डहरूमा थप विविधता सकारात्मक परिणाम हो।",48988,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
एउटै लेख पढ्ने दुई फरक व्यक्तिको प्रतिक्रिया तुलना गर्नुहोस्।

### Input:
अक्टोबर १०, २०१९ मा प्रकाशित एउटा लेख ""महिलाहरू कर्पोरेट बोर्डहरूमा बहुमतको नजिक जान्छ"" शीर्षकमा

### Response:
<|end_of_text|>",
आवधिक तालिकाका कुन तत्वहरू मेटालोइडहरू हुन्?,,"आवधिक तालिकामा बोरोन, सिलिकन, जर्मेनियम, आर्सेनिक, एन्टिमोनी र टेलुरियम हुन्।",34693,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
आवधिक तालिकाका कुन तत्वहरू मेटालोइडहरू हुन्?

### Input:


### Response:
आवधिक तालिकाका कुन तत्वहरू मेटालोइडहरू हुन्?
<|end_of_text|>",आवधिक तालिकाका कुन तत्वहरू मेटालोइडहरू हुन्?
जर्ज नाम गरेको कसैको लागि एक अद्वितीय उपनाम उत्पन्न गर्नुहोस्,,Geo-Gepopo वा G-Whiz,1877,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
जर्ज नाम गरेको कसैको लागि एक अद्वितीय उपनाम उत्पन्न गर्नुहोस्

### Input:


### Response:
<|end_of_text|>",
अंग्रेजीमा हाइकु कविता लेख्नुहोस्।,,"हरियाली हरिया पहाड
सूर्यको किरणले कोमल पहाडहरू छुन्छ
यहाँ शान्ति पाउन सकिन्छ।",35221,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
अंग्रेजीमा हाइकु कविता लेख्नुहोस्।

### Input:


### Response:
<|end_of_text|>",
पासवर्ड रिसेट गर्ने बारे ग्राहक र प्राविधिक समर्थन प्रतिनिधि बीचको कुराकानी उत्पन्न गर्नुहोस्।,ग्राहक: मैले मेरो पासवर्ड रिसेट गर्न आवश्यक छ।,"ग्राहक: मैले मेरो पासवर्ड रिसेट गर्न आवश्यक छ।

प्राविधिक समर्थन प्रतिनिधि: कुनै समस्या छैन! तपाईले आफ्नो खातामा लगइन गर्न प्रयोग गर्ने इमेल ठेगाना के हो?

ग्राहक: यो example@example.com हो

प्राविधिक समर्थन प्रतिनिधि: महान। कृपया मलाई एक क्षण दिनुहोस् जब म तपाईंको खाता हेर्छु ताकि म पासवर्ड रिसेट गर्न सकूँ।

[प्राविधिक समर्थन खाता खोजी, पासवर्ड रिसेट]

प्राविधिक समर्थन प्रतिनिधि: ठीक छ, मैले तपाईंको खाताको लागि तपाईंको पासवर्ड रिसेट गर्न सक्षम भएँ। तपाईंको नयाँ पासवर्ड [संशोधन गरिएको] छ। कृपया आफ्नो खातामा लगइन गर्न यो पासवर्ड प्रयोग गर्नुहोस्। तपाईंसँग अरू कुनै प्रश्नहरू छन्?

ग्राहक: होइन, त्यो हो। तपाईंको मद्दतको लागि धन्यवाद।

प्राविधिक समर्थन प्रतिनिधि: तपाईलाई स्वागत छ! तपाईको दिन राम्रोसँग आराम गर्नुहोस्।",41713,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
पासवर्ड रिसेट गर्ने बारे ग्राहक र प्राविधिक समर्थन प्रतिनिधि बीचको कुराकानी उत्पन्न गर्नुहोस्।

### Input:
ग्राहक: मैले मेरो पासवर्ड रिसेट गर्न आवश्यक छ।

### Response:
ग्राहक: मैले मेरो पासवर्ड रिसेट गर्न आवश्यक छ।<|end_of_text|>",ग्राहक: मैले मेरो पासवर्ड रिसेट गर्न आवश्यक छ।
